tmass_id,sobject_id,dr3_source_id,flag_sp,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,snr_c2_iraf
08520715+1149254,131217003901002,604906737317927296,0,6025.804,82.91905965852722,4.1541624,0.18216475987029215,-0.09262371,0.07001416519071464,0,48.8591878178
08512296+1149131,131217003901022,604917732434325248,0,6415.16,84.7750087963104,4.2098193,0.18221560714532228,-0.08478117,0.09244745268009283,0,43.7817682318
08513012+1143498,131217003901063,604910310730772992,1,5991.92,82.11515545187801,3.9805598,0.1969210017938334,-0.07237339,0.06848785671379515,0,49.7288811238
08512033+1145523,131217003901081,604911341522929536,0,6007.7817,80.50664999999921,3.9733527,0.1859996020339389,-0.12255621,0.06477301699757515,0,55.5695313006
08514268+1146365,131217003901110,604916731706106752,0,5718.2666,75.88971743000845,4.0081453,0.179609942164367,-0.70210457,0.055918992523516536,0,81.9917002005
08511544+1147313,131217003901111,604917560635575808,0,6286.44,75.50032395925889,4.0038705,0.18741865157974588,-0.07144165,0.057376129587749666,0,75.117307999
08510155+1149342,131217003901209,604914983655018496,8,5846.858,76.73105940531583,3.7956002,0.19134670980170942,0.005431652,0.05472429899193266,0,68.8931182581
08510925+1148206,131217003901216,604914708777297280,0,5993.6504,83.60251745369996,4.0605745,0.18456076058400114,-0.12629843,0.07090661427199918,0,46.7811053696
08512240+1151291,131217003901279,604921168408082048,8,5988.064,83.57753412355875,4.05889,0.18113990858278595,-0.052940845,0.07096818816901157,0,45.2532326543
08511362+1151182,131217003901282,604920957953908864,0,6008.7446,90.78980559049187,4.1713576,0.18340069799822717,-0.1479001,0.08640967298496022,0,33.8145376504
08513194+1153117,131217003901328,604922779020036992,0,6070.9053,83.96230737509536,4.0375047,0.1843315843523543,-0.049190998,0.07165751760940152,0,44.0921390848
08513710+1154599,131217003901337,604922920754523136,8,5984.4004,82.35599899833133,4.0205793,0.18073501176194534,-0.13559675,0.06888624615485515,0,48.7382218963
08513427+1149438,131217003901349,604917865577461888,0,6097.443,83.04922817098894,3.9908266,0.1856666747683075,-0.13879108,0.07243915331404185,0,46.4236633947
08512879+1151599,131217003901367,604921198472075008,8,5709.9604,81.83487647003265,3.7895608,0.18766986223256235,-0.08411598,0.06270340001767095,0,53.2234721785
